alpha,amc_name,beta,category,expense_ratio,fund_age_yr,fund_manager,fund_size_cr,log_fund_size,min_lumpsum,min_sip,rating,returns_1yr,returns_3yr,returns_5yr,risk_level,scheme_name,sd,sharpe,sortino,sub_category
2.24,Aditya Birla Sun Life Mutual Fund,0.01,Other,0.27,10,Kaustubh Gupta,10,2.3978952727983707,100,100,3,4,6.5,6.9,3,Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,9.39,0.24,0.32,FoFs Domestic
1.53,Aditya Birla Sun Life Mutual Fund,0.56,Hybrid,0.36,10,Lovelish Solanki,4288,8.36380888451688,1000,1000,3,5.6,4.8,5.5,1,Aditya Birla SL Arbitrage Fund,0.72,1.1,1.33,Arbitrage Mutual Funds
2.67,Aditya Birla Sun Life Mutual Fund,0.67,Other,0.53,10,Vinod Narayan Bhat,157,5.062595033026967,1000,1000,3,2,18.9,9.7,5,Aditya Birla SL Asset Allocator FoF-Dir Growth,10.58,1.42,3.44,FoFs Domestic
-6.37,Aditya Birla Sun Life Mutual Fund,0.85,Solution Oriented,0.76,4,Atul Penkar,637,6.45833828334479,1000,500,2,-0.7,17.1,8.8,6,Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,14.99,0.9,2.18,Childrens Funds
1.99,Aditya Birla Sun Life Mutual Fund,0.68,Hybrid,0.61,10,Mohit Sharma,6386,8.76201995356159,100,100,4,4.5,18.6,9.7,6,Aditya Birla SL Balanced Advantage Fund,10.38,1.39,3.69,Dynamic Asset Allocation or Balanced Advantage
1.24,Aditya Birla Sun Life Mutual Fund,0.96,Equity,1.17,9,Dhaval Gala,2384,7.776954403322442,1000,1000,2,5.3,24.6,9.2,6,Aditya Birla SL Banking&Financial Services-DirGrowth,25.53,0.97,2.07,Sectoral / Thematic Mutual Funds
4.46,Aditya Birla Sun Life Mutual Fund,1.78,Debt,0.37,10,Kaustubh Gupta,7994,8.986571625268054,1000,1000,4,4.5,6.8,7.3,3,Aditya Birla SL Banking&PSU Debt Fund,1.91,1.09,1.92,Banking and PSU Mutual Funds
1.82,Aditya Birla Sun Life Mutual Fund,0.86,Equity,1.29,10,Vinod Narayan Bhat,15,2.772588722239781,1000,1000,3,-10.3,29.4,9.3,6,Aditya Birla SL CEF – Global Agri Plan-Direct Growth,20.18,1.06,1.42,Sectoral / Thematic Mutual Funds
2.38,Aditya Birla Sun Life Mutual Fund,0.78,Debt,0.31,10,Kaustubh Gupta,12120,9.402694764470512,100,100,4,4.9,7.1,7.4,2,Aditya Birla SL Corporate Bond Fund,1.93,1.35,2.28,Corporate Bond Mutual Funds
3.01,Aditya Birla Sun Life Mutual Fund,-0.95,Debt,0.69,8,Sunaina da Cunha,1032,6.940222469119639,100,100,4,8.7,9,7.2,4,Aditya Birla SL Credit Risk Fund,2.9,1.47,1.82,Credit Risk Funds
9.37,Aditya Birla Sun Life Mutual Fund,0.83,Equity,0.88,10,Kunal Sangoi,3338,8.113426639943654,1000,100,3,-14.6,39.8,21.1,6,Aditya Birla SL Digital India Fund,21.12,1.53,2.42,Sectoral / Thematic Mutual Funds
5.04,Aditya Birla Sun Life Mutual Fund,0.85,Equity,1.73,10,Dhaval Gala,850,6.7464121285733745,1000,1000,3,6.2,30.5,10,6,Aditya Birla SL Dividend Yield Fund,15.77,1.58,3.78,Dividend Yield Funds
3.02,Aditya Birla Sun Life Mutual Fund,0.91,Debt,0.64,10,Mohit Sharma,1795,7.493317248862145,1000,1000,5,7.5,8,6,3,Aditya Birla SL Dynamic Bond Fund,3.22,1.02,1.78,Dynamic Bond
-2.06,Aditya Birla Sun Life Mutual Fund,0.98,Equity,1.14,10,Atul Penkar,4836,8.484049972822984,1000,1000,1,-9.9,22.3,7.9,6,Aditya Birla SL Equity Advantage Fund,17.61,1.16,2.21,Large & Mid Cap Funds
1.43,Aditya Birla Sun Life Mutual Fund,0.85,Hybrid,1.01,10,Mahesh Patil,7046,8.860357273327022,100,100,2,-5.7,20.4,7.7,6,Aditya Birla SL Equity Hybrid ’95 Fund,12.84,1.33,2.54,Aggressive Hybrid Mutual Funds
1.11,Aditya Birla Sun Life Mutual Fund,0.99,Hybrid,1.21,8,Dhaval Shah,451,6.113682179832232,1000,1000,2,0.8,11.7,6.9,4,Aditya Birla SL Equity Savings Fund,6.83,1.2,2.55,Equity Savings Mutual Funds
-1.46,Aditya Birla Sun Life Mutual Fund,0.96,Equity,0.86,10,Anil Shah,15449,9.645364282325891,100,100,3,-2.1,25,10.4,6,Aditya Birla SL Flexi Cap Fund,16.6,1.27,3.4,Flexi Cap Funds
3.73,Aditya Birla Sun Life Mutual Fund,1.37,Debt,0.23,10,Kaustubh Gupta,12364,9.422625179955517,1000,1000,5,5.8,6.4,6.8,2,Aditya Birla SL Floating Rate Fund,1.14,1.66,2.81,Floater Mutual Funds
-1.14,Aditya Birla Sun Life Mutual Fund,0.95,Equity,1.06,10,Mahesh Patil,5633,8.636574948436317,1000,1000,3,-0.7,24,10.7,6,Aditya Birla SL Focused Equity Fund,16.09,1.26,3.24,Focused Funds
1.65,Aditya Birla Sun Life Mutual Fund,0.8,Other,0.22,10,Vinod Narayan Bhat,159,5.075173815233827,100,100,3,2.5,21.7,10.7,6,Aditya Birla SL FP FoF – Aggressive – Direct Growth,11.73,1.4,3.13,FoFs Domestic
1.94,Aditya Birla Sun Life Mutual Fund,0.36,Other,0.34,10,Vinod Narayan Bhat,14,2.70805020110221,100,100,4,4.7,13.3,8.2,4,Aditya Birla SL FP FoF – Conservative – Direct Growth,5.49,1.57,3.82,FoFs Domestic
1.69,Aditya Birla Sun Life Mutual Fund,0.58,Other,0.36,10,Vinod Narayan Bhat,28,3.367295829986474,100,100,3,3.7,17.3,9.4,5,Aditya Birla SL FP FoF – Moderate – Direct Growth,8.56,1.44,3.09,FoFs Domestic
0.76,Aditya Birla Sun Life Mutual Fund,0.95,Equity,1.03,10,Mahesh Patil,21131,9.958543758284206,100,100,3,1.6,26.3,10.6,6,Aditya Birla SL Frontline Equity Fund,16.02,1.39,3.36,Large Cap Mutual Funds
1.82,Aditya Birla Sun Life Mutual Fund,0.86,Other,0.7,10,Vinod Narayan Bhat,261,5.568344503761097,100,100,3,-5.7,18.8,8.3,6,Aditya Birla SL Global Emerging Oppt Fund,16.64,0.7,0.98,FoFs Overseas
-0.57,Aditya Birla Sun Life Mutual Fund,0.97,Other,0.15,10,Lovelish Solanki,278,5.631211781821365,100,100,2,11.8,12.1,13.2,5,Aditya Birla SL Gold Fund,13.89,0.45,1.07,FoFs Domestic
1.09,Aditya Birla Sun Life Mutual Fund,0.73,Debt,0.29,10,Bhupesh Bameta,1351,7.20934025660291,1000,1000,3,3.6,6,8,3,Aditya Birla SL Govt Securities Fund,3.35,0.57,0.71,Gilt Mutual Funds
1.69,Aditya Birla Sun Life Mutual Fund,1.51,Debt,0.49,10,Bhupesh Bameta,1496,7.311218384419629,5000,1000,4,3.5,7.1,7.7,3,Aditya Birla SL Income Fund,3.29,0.64,0.88,Medium to Long Duration Funds
3.33,Aditya Birla Sun Life Mutual Fund,0.79,Equity,0.82,10,Chanchal Khandelwal,3217,8.076515327552329,1000,1000,3,4.6,25,13.3,6,Aditya Birla SL India GenNext Fund,14.93,1.43,3.73,Sectoral / Thematic Mutual Funds
4.38,Aditya Birla Sun Life Mutual Fund,0.85,Equity,1.7,10,Mahesh Patil,562,6.333279628139691,1000,1000,2,13.5,35.6,9.2,6,Aditya Birla SL Infrastructure Fund,22.52,1.4,3.3,Sectoral / Thematic Mutual Funds
1.82,Aditya Birla Sun Life Mutual Fund,0.86,Equity,1.75,10,Vinod Narayan Bhat,108,4.6913478822291435,1000,1000,3,0.9,17.7,10.4,6,Aditya Birla SL Inter Equity – Plan A-Direct Growth,13.99,0.81,1.28,Sectoral / Thematic Mutual Funds
-1.93,Aditya Birla Sun Life Mutual Fund,0.87,Equity,2.15,10,Vinod Narayan Bhat,90,4.51085950651685,1000,1000,3,-4.1,22.7,7.6,6,Aditya Birla SL Inter Equity – Plan B-Direct Growth,16.3,1.14,2.45,Sectoral / Thematic Mutual Funds
1.49,Aditya Birla Sun Life Mutual Fund,0.8,Debt,0.21,10,Kaustubh Gupta,28071,10.24252791726305,500,500,4,5.7,4.4,5.4,3,Aditya Birla SL Liquid Fund,0.39,1.06,5.28,Liquid Mutual Funds
3.33,Aditya Birla Sun Life Mutual Fund,1,Debt,0.39,10,Mohit Sharma,10035,9.213933907486313,100,100,4,5.7,6.5,7,3,Aditya Birla SL Low Duration Fund,0.97,2.05,4.76,Low Duration Funds
-1.7,Aditya Birla Sun Life Mutual Fund,0.83,Equity,1.56,8,Anil Shah,613,6.419994928147142,1000,1000,3,-2.9,21.7,6.8,6,Aditya Birla SL Manufacturing Equity Fund,15.05,1.18,2.43,Sectoral / Thematic Mutual Funds
9.65,Aditya Birla Sun Life Mutual Fund,1.12,Debt,0.86,10,Sunaina da Cunha,1652,7.410347097821024,1000,1000,5,22.1,14.5,8.6,4,Aditya Birla SL Medium Term Plan – Direct Growth,10.73,0.93,2.29,Medium Duration Funds
-0.81,Aditya Birla Sun Life Mutual Fund,0.89,Equity,1.2,10,Anil Shah,3436,8.142354276849835,1000,1000,1,-3.6,28,8.3,6,Aditya Birla SL Midcap Fund,16.52,1.54,3.11,Mid Cap Mutual Funds
3.06,Aditya Birla Sun Life Mutual Fund,1.31,Debt,0.21,10,Mohit Sharma,13095,9.48006211905097,1000,1000,4,5.6,5.6,6.4,3,Aditya Birla SL Money Manager Fund,0.68,1.94,4.58,Money Market Funds
-0.87,Aditya Birla Sun Life Mutual Fund,0.99,Other,0.32,10,Lovelish Solanki,494,6.20455776256869,100,1000,3,0.7,25.5,11.6,6,Aditya Birla SL Nifty 50 Index Fund,16.65,1.29,3.42,Index Funds
0.58,Aditya Birla Sun Life Mutual Fund,0.43,Debt,0.07,4,Kaustubh Gupta,13399,9.503009985939002,5000,0,3,5.4,3.9,8.8,1,Aditya Birla SL Overnight Fund,0.35,0.02,0.11,Overnight Mutual Funds
3.41,Aditya Birla Sun Life Mutual Fund,0.99,Equity,1.12,10,Kunal Sangoi,3798,8.242493153187626,1000,1000,1,3,29.8,4.3,6,Aditya Birla SL Pure Value Fund,18.83,1.36,2.31,Value Funds
5.71,Aditya Birla Sun Life Mutual Fund,0.6,Hybrid,0.92,10,Dhaval Shah,1585,7.368970402194793,500,500,3,3.6,13.9,7.6,4,Aditya Birla SL Regular Savings Fund,4.8,2.08,3.88,Conservative Hybrid Mutual Funds
-5.61,Aditya Birla Sun Life Mutual Fund,0.84,Solution Oriented,1.06,4,Dhaval Shah,258,5.556828061699537,1000,500,2,0,17.9,8.8,6,Aditya Birla SL Retirement-The 30s Plan-Dir Growth,14.94,0.94,2.41,Retirement Funds
-3.14,Aditya Birla Sun Life Mutual Fund,0.77,Solution Oriented,1.07,4,Dhaval Shah,91,4.5217885770490405,1000,500,2,-0.1,15,8.8,6,Aditya Birla SL Retirement-The 40s Plan-Dir Growth,11.86,0.93,2.34,Retirement Funds
-2.04,Aditya Birla Sun Life Mutual Fund,0.34,Solution Oriented,0.63,4,Dhaval Shah,27,3.332204510175204,1000,500,2,3,4.6,8.8,4,Aditya Birla SL Retirement-The 50s Plan-Dir Growth,2.99,0.13,0.29,Retirement Funds
0.09,Aditya Birla Sun Life Mutual Fund,1.09,Solution Oriented,0.85,4,Dhaval Shah,26,3.295836866004329,1000,500,1,2.9,4.6,8.8,3,Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,2.19,0.18,0.22,Retirement Funds
2.64,Aditya Birla Sun Life Mutual Fund,0.86,Debt,0.34,10,Kaustubh Gupta,14457,9.579003173560242,1000,1000,4,5.5,5.8,6.5,3,Aditya Birla SL Savings Fund,0.76,1.96,4.23,Ultra Short Duration Funds
4.91,Aditya Birla Sun Life Mutual Fund,1.27,Debt,0.38,10,Kaustubh Gupta,5045,8.526351129201004,1000,1000,4,5.5,7.8,7.6,3,Aditya Birla SL Short Term Fund,2.05,1.57,3.7,Short Duration Funds
-0.73,Aditya Birla Sun Life Mutual Fund,0.89,Equity,1.04,10,Vishal Gajwani,2901,7.973155433444133,1000,1000,1,-2.3,31.6,5.4,6,Aditya Birla SL Small Cap Fund,19.36,1.51,3.11,Small Cap Mutual Funds
-7.68,Aditya Birla Sun Life Mutual Fund,0.87,Equity,0.93,10,Atul Penkar,12755,9.453757028129948,500,500,1,-3,16.1,5.8,6,Aditya Birla SL Tax Relief ’96 – Direct Growth,15.31,0.83,1.94,ELSS Mutual Funds
1.88,Axis Mutual Fund,0.8,Other,0.22,3,R Sivakumar,161,5.087596335232384,5000,1000,4,4.7,6.2,8.8,4,AXIS All Seasons Debt Fund,2.06,1.02,1.77,FoFs Domestic
1.41,Axis Mutual Fund,0.44,Hybrid,0.31,9,Ashish Naik,3085,8.034631032923107,500,1000,4,5.6,4.9,5.6,1,AXIS Arbitrage Fund,0.68,1.21,1.47,Arbitrage Mutual Funds
-1.23,Axis Mutual Fund,0.53,Hybrid,0.7,6,Anupam Tiwari,2077,7.639161171659173,500,1000,2,1.2,12.4,8,6,AXIS Balanced Advantage Fund,8.09,1.05,2.26,Dynamic Asset Allocation or Balanced Advantage
3.83,Axis Mutual Fund,1.62,Debt,0.33,10,Aditya Pagaria,13953,9.543521484499182,5000,1000,4,4.5,6.4,7.2,3,AXIS Banking & PSU Debt Fund,1.5,1.11,2.78,Banking and PSU Mutual Funds
-5.97,Axis Mutual Fund,0.89,Equity,0.63,10,Shreyash Devalkar,33049,10.405776845279833,500,500,4,-6.1,17.3,12.1,6,AXIS Bluechip Fund,15.76,0.9,1.81,Large Cap Mutual Funds
-1.6,Axis Mutual Fund,0.86,Solution Oriented,1.06,7,Ashish Naik,685,6.530877627725885,5000,1000,3,-6.5,17.8,10.1,6,AXIS Children’s Gift Fund,12.97,1.1,2.34,Childrens Funds
2.46,Axis Mutual Fund,0.67,Debt,0.22,6,Devang Shah,3783,8.238536930171769,5000,1000,5,4.9,7.5,7.3,3,AXIS Corporate Debt Fund,2.06,1.28,2.88,Corporate Bond Mutual Funds
3.22,Axis Mutual Fund,0.26,Debt,0.81,9,Devang Shah,620,6.431331081933479,5000,1000,4,5.4,7.4,6.8,4,AXIS Credit Risk Fund,1.62,1.77,1.97,Credit Risk Funds
1.2,Axis Mutual Fund,1.84,Debt,0.26,10,R Sivakumar,1733,7.458186157340487,5000,1000,2,3.4,6.5,7.7,3,AXIS Dynamic Bond Fund,3.83,0.45,0.61,Dynamic Bond
-1.88,Axis Mutual Fund,0.87,Hybrid,0.89,5,Ashish Naik,1699,7.438383530044307,500,1000,2,-4.9,17.4,8.8,6,AXIS Equity Hybrid Fund,13,1.09,2.37,Aggressive Hybrid Mutual Funds
0.66,Axis Mutual Fund,1.16,Hybrid,0.88,8,R Sivakumar,978,6.88653164253051,500,1000,3,1.4,12.7,8.8,4,AXIS Equity Saver Fund,7.52,1.19,2.39,Equity Savings Mutual Funds
-5.98,Axis Mutual Fund,0.89,Equity,0.7,5,Shreyash Devalkar,10077,9.218110109240543,500,500,4,-8.3,17.9,12.3,6,AXIS Flexi Cap Fund,16.19,0.92,1.77,Flexi Cap Funds
1.82,Axis Mutual Fund,0.86,Debt,0.16,2,Aditya Pagaria,416,6.0330862217988015,5000,1000,2,5.8,18.15,8.8,2,AXIS Floater Fund,12.1,1.29,2.86,Floater Mutual Funds
-10.67,Axis Mutual Fund,1.04,Equity,0.74,10,Jinesh Gopani,15139,9.62509552699144,500,500,2,-14.7,14.8,8.9,6,AXIS Focused 25 Fund,18.84,0.74,1.44,Focused Funds
5.29,Axis Mutual Fund,2.36,Debt,0.13,4,Devang Shah,110,4.709530201312334,0,0,3,11.2,14.5,14,2,AXIS FTP – Series 104 – 1112Days,12.1,2.19,7.27,Fixed Maturity Plans
1.82,Axis Mutual Fund,0.86,Debt,0,1,Devang Shah,565,6.338594078203183,0,0,3,11.2,14.5,14,3,AXIS FTP – Series 109 – 111Days,12.1,1.29,2.86,Fixed Maturity Plans
1.09,Axis Mutual Fund,0.56,Debt,0.39,10,Devang Shah,133,4.897839799950911,5000,1000,4,4,5.9,7.9,3,AXIS Gilt Fund,2.87,0.6,1.15,Gilt Mutual Funds
-0.04,Axis Mutual Fund,0.97,Other,0.17,10,Aditya Pagaria,290,5.673323267171493,5000,1000,4,14.5,12,13.7,5,AXIS Gold Fund,13.9,0.49,1.07,FoFs Domestic
1.19,Axis Mutual Fund,0.91,Equity,0.59,4,Jinesh Gopani,8053,8.9939241414114,500,1000,3,-6.4,26.5,8.8,6,AXIS Growth Opportunities Fund,17.3,1.28,2.64,Large & Mid Cap Funds
1.41,Axis Mutual Fund,0.78,Debt,0.15,10,Devang Shah,27226,10.211964406994612,500,0,4,5.7,4.3,5.4,2,AXIS Liquid Fund,0.38,0.96,4.54,Liquid Mutual Funds
-9.98,Axis Mutual Fund,1.02,Equity,0.85,10,Jinesh Gopani,28754,10.266566944147854,500,500,2,-11.1,15.7,9.4,6,AXIS Long Term Equity Fund,18.65,0.75,1.45,ELSS Mutual Funds
-2.25,Axis Mutual Fund,0.81,Equity,0.57,10,Shreyash Devalkar,18920,9.84802769533176,500,500,5,-2.5,25.2,15.8,6,AXIS Midcap Fund,15.37,1.4,2.98,Mid Cap Mutual Funds
2.81,Axis Mutual Fund,1.22,Debt,0.21,4,Devang Shah,4002,8.294799358992574,5000,1000,4,5.6,5.4,8.8,2,AXIS Money Market Fund,0.62,1.91,4.81,Money Market Funds
-1.76,Axis Mutual Fund,0.99,Other,0.15,3,Ashish Naik,953,6.860663671448287,500,1000,3,-1.7,25.1,8.8,6,AXIS Nifty 100 Index Fund,16.66,1.24,2.93,Index Funds
0.62,Axis Mutual Fund,0.44,Debt,0.05,4,Aditya Pagaria,12566,9.438829609615144,500,0,4,5.4,3.9,8.8,1,AXIS Overnight Fund,0.35,0.09,0.49,Overnight Mutual Funds
1.34,Axis Mutual Fund,0.71,Hybrid,0.86,10,Devang Shah,407,6.0112671744041615,500,1000,3,1.8,10.9,7,4,AXIS Regular Saver Fund,4.69,1.37,2.42,Conservative Hybrid Mutual Funds
-4.49,Axis Mutual Fund,0.78,Solution Oriented,0.65,3,Jinesh Gopani,633,6.452048954437226,5000,1000,1,-4.1,14,8.8,6,AXIS Retirement Savings Fund,13.03,0.76,1.56,Retirement Funds
4.6,Axis Mutual Fund,1.78,Debt,0.3,10,Devang Shah,7096,8.867427438524983,5000,1000,4,4.9,6.9,7.4,3,AXIS Short Term Fund,1.61,1.38,2.78,Short Duration Funds
8.34,Axis Mutual Fund,0.66,Equity,0.54,9,Anupam Tiwari,11462,9.34687973611501,500,500,5,3.4,34.5,19.4,6,AXIS Small Cap Fund,14.71,2.06,3.9,Small Cap Mutual Funds
2.56,Axis Mutual Fund,0.7,Debt,0.39,10,Devang Shah,1644,7.405495663199472,5000,1000,4,5.2,7.4,7.4,4,AXIS Strategic Bond Fund,1.89,1.46,2.27,Medium Duration Funds
3.09,Axis Mutual Fund,1.17,Debt,0.29,10,Devang Shah,4614,8.437067146936952,5000,1000,4,5.3,5.9,6.6,2,AXIS Treasury Advantage Fund,0.87,1.75,3.73,Low Duration Funds
-2.21,Axis Mutual Fund,0.91,Hybrid,0.72,10,R Sivakumar,1478,7.2991214627108,500,1000,2,-5.1,18.1,10.4,6,AXIS Triple Advantage Fund,13.44,1.08,2.35,Multi Asset Allocation Mutual Funds
2.29,Axis Mutual Fund,0.81,Debt,0.31,5,Aditya Pagaria,4491,8.410053315858335,5000,1000,4,5.7,5.4,8.8,3,AXIS Ultra Short Term Fund,0.53,2.25,4.47,Ultra Short Duration Funds
0.73,Bandhan Mutual Fund,0.43,Other,0.42,10,Sachin Relekar,16,2.833213344056216,1000,100,3,1.3,12.7,6.9,5,Bandhan Asset Allocation FoF – Moderate – Direct Growth,6.59,1.31,2.27,FoFs Domestic
9.78,Bandhan Mutual Fund,5.4,Debt,0.05,4,Harshal Joshi,286,5.659482215759621,5000,0,3,4.4,6.2,8.8,3,Bandhan FTP – Sr.179,3.98,0.64,0.9,Fixed Maturity Plans
0.24,Bank of India Mutual Fund,0.52,Hybrid,0.98,5,Alok Singh,12,2.5649493574615367,5000,1000,1,4.2,3.4,8.8,1,Bank of India Arbitrage Fund,0.6,-0.78,-1.14,Arbitrage Mutual Funds
-1.05,Bank of India Mutual Fund,0.54,Hybrid,2.07,9,Alok Singh,90,4.51085950651685,5000,1000,2,13.6,12.1,5.1,6,Bank of India Balanced Advantage Fund,11.04,0.81,1.81,Dynamic Asset Allocation or Balanced Advantage
6.44,Bank of India Mutual Fund,0.64,Hybrid,2.2,10,Alok Singh,63,4.1588830833596715,10000,1000,4,22.3,15.5,6.4,3,Bank of India Conservative Hybrid Fund,11.85,0.93,4.71,Conservative Hybrid Mutual Funds
-13.36,Bank of India Mutual Fund,-31.86,Debt,1.54,8,Alok Singh,161,5.087596335232384,5000,0,5,130.8,12.8,-4.1,4,Bank of India Credit Risk Fund,77.72,0.38,0.91,Credit Risk Funds
1.7,Bank of India Mutual Fund,0.88,Equity,1.89,10,Nitin Gosar,204,5.3230099791384085,5000,1000,2,2.7,25.6,9.5,6,Bank of India Large & Mid Cap Equity Fund,15.55,1.4,2.66,Large & Mid Cap Funds
1.38,Bank of India Mutual Fund,0.76,Debt,0.18,10,Mithraem Bharucha,403,6.0014148779611505,5000,0,4,5.7,4.3,5.3,2,Bank of India Liquid Fund,0.38,0.92,4.06,Liquid Mutual Funds
12.2,Bank of India Mutual Fund,0.54,Equity,1.55,10,Nitin Gosar,87,4.477336814478207,5000,1000,4,7.6,35.4,11.5,6,Bank of India Manufacturing & Infrastr Fund,16.3,1.8,3.23,Sectoral / Thematic Mutual Funds
10.87,Bank of India Mutual Fund,0.75,Hybrid,1.92,7,Alok Singh,380,5.942799375126701,5000,1000,4,-0.3,29.3,10.4,6,Bank of India Mid & Small Cap Equity & Debt Fund,15.51,1.59,2.56,Aggressive Hybrid Mutual Funds
3.13,Bank of India Mutual Fund,0.87,Equity,0.95,5,Dhruv Bhatia,51,3.9512437185814275,500,0,3,-4.1,27.1,10.6,6,Bank of India Midcap Tax Fund,17.03,1.38,2.64,ELSS Mutual Funds
0.76,Bank of India Mutual Fund,0.47,Debt,0.17,3,Mithraem Bharucha,82,4.418840607796598,5000,0,5,5.5,4,8.8,1,Bank of India Overnight Fund,0.34,0.39,1.92,Overnight Mutual Funds
3.58,Bank of India Mutual Fund,-0.99,Debt,0.98,10,Mithraem Bharucha,72,4.290459441148391,5000,1000,5,28.3,8.8,4,2,Bank of India Short Term Income – Direct Growth,11.44,0.43,0.76,Short Duration Funds
8.58,Bank of India Mutual Fund,0.81,Equity,1.52,4,Dhruv Bhatia,414,6.028278520230698,5000,1000,4,-1,47.7,8.8,6,Bank of India Small Cap Fund,18.44,1.93,4.16,Small Cap Mutual Funds
3.48,Bank of India Mutual Fund,0.89,Equity,1.31,10,Alok Singh,676,6.517671272912275,500,500,4,0.9,29,13.2,6,Bank of India Tax Advantage Fund,16.3,1.5,2.88,ELSS Mutual Funds
2.06,Bank of India Mutual Fund,1.12,Debt,0.36,10,Mithraem Bharucha,118,4.77912349311153,5000,1000,2,5.2,4.7,5.7,3,Bank of India Ultra Short Duration Fund,0.52,1.07,2.16,Ultra Short Duration Funds
1.88,Baroda BNP Paribas Mutual Fund,0.79,Hybrid,0.61,6,Jitendra Sriram,772,6.650279048587422,5000,300,5,3.5,20.6,13.3,6,Baroda BNP Paribas Aggressive Hybrid Fund,11.77,1.39,2.79,Aggressive Hybrid Mutual Funds
1.39,Baroda BNP Paribas Mutual Fund,0.59,Hybrid,0.49,6,Neeraj Saxena,354,5.872117789475416,5000,300,3,5.2,4.6,5.6,1,Baroda BNP Paribas Arbitrage Fund,0.71,0.85,0.99,Arbitrage Mutual Funds
2.61,Baroda BNP Paribas Mutual Fund,0.7,Hybrid,0.64,4,Sanjay Chawla,3123,8.046869510959576,5000,500,4,3.7,19.8,8.8,6,Baroda BNP Paribas Balanced Advantage Fund,10.57,1.46,3.41,Dynamic Asset Allocation or Balanced Advantage
1.82,Baroda BNP Paribas Mutual Fund,0.86,Debt,0.39,2,Prashant Pimple,40,3.713572066704308,5000,500,2,2.5,18.15,8.8,2,Baroda BNP Paribas Banking & PSU Bond Fund,12.1,1.29,2.86,Banking and PSU Mutual Funds
-2.87,Baroda BNP Paribas Mutual Fund,0.89,Equity,1.63,10,Miten Vora,69,4.248495242049359,5000,500,2,6.6,19.2,9.1,6,Baroda BNP Paribas Banking&Fin Serv Fund,22.87,0.82,1.77,Sectoral / Thematic Mutual Funds
0.64,Baroda BNP Paribas Mutual Fund,0.58,Hybrid,0.78,10,Pratish Krishnan,501,6.218600119691729,1000,300,4,3.7,9.2,7.7,4,Baroda BNP Paribas Conservative Hybrid Fund,3.7,1.29,2.74,Conservative Hybrid Mutual Funds
0.69,Baroda BNP Paribas Mutual Fund,0.9,Debt,0.32,10,Mayank Prakash,17,2.8903717578961645,5000,300,2,2.8,5.6,4.4,2,Baroda BNP Paribas Corporate Bond Fund,2.22,0.43,0.63,Corporate Bond Mutual Funds
1.72,Baroda BNP Paribas Mutual Fund,-3.29,Debt,0.78,8,Prashant Pimple,179,5.19295685089021,5000,500,5,5.7,10.9,7.6,4,Baroda BNP Paribas Credit Risk Fund,5.8,1.06,1.9,Credit Risk Funds
0.91,Baroda BNP Paribas Mutual Fund,1.36,Debt,0.71,10,Mayank Prakash,115,4.7535901911063645,1000,300,2,5.2,5.7,6.6,3,Baroda BNP Paribas Dynamic Bond Fund,2.65,0.49,0.56,Dynamic Bond
-0.94,Baroda BNP Paribas Mutual Fund,0.83,Equity,1.12,10,Sanjay Chawla,651,6.480044561926653,500,500,3,-2.4,20.4,10.5,6,Baroda BNP Paribas ELSS Fund,14.42,1.29,2.92,ELSS Mutual Funds
0.25,Baroda BNP Paribas Mutual Fund,0.73,Hybrid,1.45,4,Pratish Krishnan,250,5.5254529391317835,5000,500,3,3.7,9.8,8.8,4,Baroda BNP Paribas Equity Savings Fund,4.91,1.12,2.42,Equity Savings Mutual Funds
-1.21,Baroda BNP Paribas Mutual Fund,0.85,Equity,0.67,5,Sanjay Chawla,299,5.703782474656201,5000,300,3,0.5,23.1,9.9,6,Baroda BNP Paribas Focused Fund,14.73,1.27,2.96,Focused Funds
0.07,Baroda BNP Paribas Mutual Fund,0.66,Debt,0.14,10,Mayank Prakash,138,4.9344739331306915,5000,500,2,3.7,4.9,6.8,3,Baroda BNP Paribas Gilt Fund,2.89,0.28,0.34,Gilt Mutual Funds
2.41,Baroda BNP Paribas Mutual Fund,0.71,Equity,0.81,5,Shiv Chanani,880,6.78105762593618,5000,300,3,5.2,23.3,8.8,6,Baroda BNP Paribas India Consumption Fund,13.62,1.38,3.08,Sectoral / Thematic Mutual Funds
-0.18,Baroda BNP Paribas Mutual Fund,0.86,Equity,0.94,10,Jitendra Sriram,1347,7.206377291472252,5000,300,4,3,23.5,12.8,6,Baroda BNP Paribas Large Cap Fund,14.57,1.32,2.71,Large Cap Mutual Funds
1.32,Baroda BNP Paribas Mutual Fund,0.72,Debt,0.19,10,Vikram Pamnani,6686,8.80792062205398,5000,500,5,5.7,4.4,5.4,2,Baroda BNP Paribas Liquid Fund,0.38,0.93,4.11,Liquid Mutual Funds
3.17,Baroda BNP Paribas Mutual Fund,1.28,Debt,0.39,10,Mayank Prakash,175,5.170483995038151,5000,300,3,5,6,6.5,3,Baroda BNP Paribas Low Duration Fund,0.96,1.51,2.55,Low Duration Funds
